Borough,Neighborhood,Median List Price,Average Rent Price
Bronx,Wakefield,"$599,000 ",
Bronx,Co-op City,"$570,000 ",
Bronx,Eastchester,"$599,000 ",
Bronx,Fieldston,"$407,000 ",
Bronx,Riverdale,"$385,000 ",
Bronx,Kingsbridge,"$412,550 ",
Bronx,Woodlawn,"$512,000 ",
Bronx,Norwood,"$243,500 ",
Bronx,Williamsbridge,"$622,500 ",
Bronx,Baychester,"$590,000 ",
Bronx,Pelham Parkway,"$259,000 ",
Bronx,City Island,"$559,490 ",
Bronx,Bedford Park,"$240,000 ",
Bronx,University Heights,"$284,000 ",
Bronx,Morris Heights,"$850,000 ",
Bronx,Fordham,"$599,990 ",
Bronx,East Tremont,"$600,000 ",
Bronx,West Farms,"$695,000 ",
Bronx,High Bridge,"$450,000 ",
Bronx,Melrose,"$269,000 ",
Bronx,Mott Haven,"$1,040,000 ",
Bronx,Port Morris,,
Bronx,Longwood,"$750,000 ",
Bronx,Hunts Point,"$899,990 ",
Bronx,Morrisania,"$560,000 ",
Bronx,Soundview,"$504,490 ",
Bronx,Clason Point,"$572,000 ",
Bronx,Throgs Neck,"$599,500 ",
Bronx,Country Club,"$659,490 ",
Bronx,Parkchester,"$260,000 ",
Bronx,Westchester Square,"$550,000 ",
Bronx,Van Nest,"$712,000 ",
Bronx,Morris Park,"$775,000 ",
Bronx,Belmont,"$945,000 ",
Bronx,Spuyten Duyvil,"$365,000 ",
Bronx,North Riverdale,,
Bronx,Pelham Bay,"$649,990 ",
Bronx,Schuylerville,"$672,300 ",
Bronx,Edgewater Park,,
Bronx,Castle Hill,"$624,500 ",
Bronx,Olinville,"$636,490 ",
Bronx,Pelham Gardens,"$649,990 ",
Bronx,Concourse,"$499,000 ",
Bronx,Unionport,,
Bronx,Edenwald,,
Bronx,Claremont Village,,
Bronx,Concourse Village,"$319,990 ",
Bronx,Mount Eden,"$697,500 ",
Bronx,Mount Hope,"$795,000 ",
Bronx,Bronxdale,,
Bronx,Allerton,"$650,000 ",
Bronx,Kingsbridge Heights,"$244,000 ",
Brooklyn,Bay Ridge,"$588,000 ",
Brooklyn,Bensonhurst,"$1,250,000 ","$1,869 "
Brooklyn,Sunset Park,"$1,440,000 ",
Brooklyn,Greenpoint,"$1,440,000 ","$4,056 "
Brooklyn,Gravesend,"$872,000 ","$1,859 "
Brooklyn,Brighton Beach,"$574,000 ","$2,226 "
